Jurisdicción;CUE Anexo;Nombre;Sector;Ámbito;Domicilio;CP;Código de área;Teléfono;Código localidad;Localidad;Departamento;Mail;Ed. Común;Ed. Especial;Ed. Adultos;Ed. Artística;Ed. Hospitalaria Domiciliaria;Ed. Intercultural Bilingüe;Jardín maternal;Inicial;Primaria;Secundaria;Secundaria Técnica (INET);Superior no Universitario;Servicios complementarios
Buenos Aires;60000100;JARDÍN DE INFANTES Nº915 JAVIER VILLAFAÑE;Estatal;Urbano;TIRO FEDERAL 712  ;7300;02281;426487;6049005;AZUL;AZUL;jardin905azul@gmail.com; ji007915@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60002102;CENTRO DE ADULTOS Nº704/01;Estatal;Urbano;DIAGONAL DE MAYO Y MUSTONI S/N  WILLIAM C. MORRIS;1686;011;4665-4144;6408002;HURLINGHAM;HURLINGHAM;adu135701@yahoo.com; dc135704@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60002103;CENTRO DE ADULTOS Nº708/01;Estatal;Urbano;LIOZANGA Y JACHAL S/N  SAN DAMIAN;1686;011;4452-3180;6408002;HURLINGHAM;HURLINGHAM;adu135701@yahoo.com; dc135708@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60002104;CENTRO DE ADULTOS Nº709/01;Estatal;Urbano;LAVALLE 1478  WILLIAM C. MORRIS;1686;011;4665-4013;6408002;HURLINGHAM;HURLINGHAM;adu135701@yahoo.com; dc135709@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60002200;ESCUELA DE EDUCACIÓN PRIMARIA Nº18 WILLIAM CASE MORRIS;Estatal;Urbano;LEVALLE (E/HUICI Y AMENABAR) S/N  ;1686;011;4665-3260;6408003;WILLIAM C MORRIS;HURLINGHAM;ep18@yahoo.com.ar; pp135018@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60002300;JARDÍN DE INFANTES Nº902 CEFERINO NAMUNCURA;Estatal;Urbano;GARIBALDI Y VILLEGAS 2991  ;1686;011;4452-5759;6408003;WILLIAM C MORRIS;HURLINGHAM;in135ji902@yahoo.com.ar; oji1350902@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60002400;JARDÍN DE INFANTES Nº902 ANIBAL RIU;Estatal;Rural;ISLAS MALVINAS Y BELGRANO S/N  ;6665;02343;49-8712;6854026;PEDERNALES;25 DE MAYO;anibalriu902@yahoo.com.ar; oji1080902@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60002500;JARDÍN DE INFANTES Nº904 TAMBOR DE TACUARI;Estatal;Urbano;SARMIENTO  Y RIVADAVIA S/N  ;6663;02343;44-0841;6854024;NORBERTO DE LA RIESTRA;25 DE MAYO;jardin108904@yahoo.com.ar; ji108904@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60002600;ESCUELA DE ADULTOS Nº701 MARTÍN FIERRO;Estatal;Urbano;5 Y 32 1287  ;6660;02345;46-6328;6854001;25 DE MAYO;25 DE MAYO;de1080701@ed.gba.gov.ar; ode1080701@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60002601;CENTRO DE ADULTOS Nº703/01;Estatal;Urbano;18 E/ 21 y 22 S/N  ;6660;02345;46-6341/328;6854001;25 DE MAYO;25 DE MAYO;de108070@ed.gba.gov.ar; odc1080703@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60002602;CENTRO DE ADULTOS Nº705/01;Estatal;Urbano;101 Y 41 S/N  ;6660;02345;46-6341;6854001;25 DE MAYO;25 DE MAYO;de1080701@ed.gba.gov.ar; odc1080705@abc.gov.ar;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60002700;ESCUELA DE EDUCACIÓN PRIMARIA Nº12 DOMINGO FAUSTINO SARMIENTO;Estatal;Urbano;GÜEMES 1414  ;6700;02323;42-1181;6497009;LUJAN;LUJAN;pp12lujan@gmail.com; pp063012@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60002800;INSTITUTO SUPERIOR DE FORMACION DOCENTE Y TÉCNICA Nº189;Estatal;Urbano;H. YRIGOYEN 1496  LUJAN;6700;02323;43-6549;6497009;LUJAN;LUJAN;isfdyt_189@yahoo.com.ar; is063189@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso
Buenos Aires;60002900;INSTITUTO INMACULADA CONCEPCION;Privado;Urbano;AV. FLANDES 856  JAUREGUI;6706;02323;49-332;6497009;LUJAN;LUJAN;iic4435@hotmail.com;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60003000;ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 JULIO STEVERLYNCK;Estatal;Urbano;PADRE INGLÉS 1585  ;6706;02323;49-4996;6497022;JAUREGUI;LUJAN;secundaria2lujan@gmail.com; mm063002@abc.gov.ar;Verdadero;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60003200;ESCUELA DE EDUCACIÓN PRIMARIA Nº10 ALMIRANTE GUILLERMO BROWN;Estatal;Rural;SAFORCADA S/N  ;6022;02362;15-41-2059;6413021;SAFORCADA;JUNIN;escuelaprimaria10saforcada@yahoo.com.ar; opp0530010@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60003300;JARDÍN DE INFANTES DAILAN KIFKI;Privado;Urbano;J.B.JUSTO 390  ;6000;02362;15-45-7590;6413012;JUNIN;JUNIN;nbatalialazzati10@hotmail.com; dji0533605@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60003400;ESCUELA DE EDUCACIÓN PRIMARIA Nº30 25 DE MAYO;Estatal;Urbano;PASO Y FLEMING S/N  ;6000;02362;43-2354;6413012;JUNIN;JUNIN;eprimaria30@gmail.com; opp0530030@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60003500;JARDÍN DE INFANTES Nº912 DOMINGO SICCARDI;Estatal;Rural;SAFORCADA   ;6000;02362;419396;6413021;SAFORCADA;JUNIN;orlandaandrea@hotmail.com; oji0530912@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60003700;ESCUELA DE EDUCACIÓN PRIMARIA Nº33 COMANDANTE ESCRIBANO;Estatal;Rural;CUARTEL IV S/N  LA AGRARIA;6000;02362;154412066;6413012;JUNIN;JUNIN;veronica_ferrarezi@yahoo.com.ar; opp0530033@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60003800;ESCUELA DE EDUCACIÓN PRIMARIA Nº26 JUAN PASCUAL PRINGLES;Estatal;Rural;ALBERDI S/N  CAMPO LA CRUZ;6000;02362;41-2053;6413012;JUNIN;JUNIN;escuela26juninbsas@gmail.com; pp053026@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60003900;JARDÍN DE INFANTES Nº906 ALFONSINA STORNI;Estatal;Urbano;BORGES Y TUCUMAN 995  Barrio Belgrano;6000;02362;44-30487;6413012;JUNIN;JUNIN;jardin906junin@gmail.com; ji053906@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60004000;JARDÍN DE INFANTES Nº902 MANUEL BELGRANO;Estatal;Rural;B.MITRE E/ 25 DE MAYO Y AVELLANEDA   ;6001;02362;49-4025;6413023;AGUSTIN ROCA;JUNIN;jardin902roca@gmail.com; ji053902@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60004100;ESCUELA DE EDUCACIÓN PRIMARIA Nº9 MARIANO MORENO;Estatal;Rural;S.MARTIN/BELGRANO Y RIVADAVA 176  ;6001;02362;49-4052;6413022;A. ROCA;JUNIN;escuela9roca@gmail.com; pp053009@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60004200;ESCUELA DE EDUCACIÓN PRIMARIA Nº3 JOSÉ MANUEL ESTRADA;Estatal;Urbano;ARENGREEN ESQ. RIVADAVIA 36  ;1714;011;4458-4230;6410002;ITUZAINGO;ITUZAINGO;escuela3ituzaingo@hotmail.com; pp136003@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60004300;JARDÍN DE INFANTES Nº915;Estatal;Urbano;BERLIN E/PARERA Y RIPAMONTI 3870  SANTA ROSA;1712;011;4692-5879;6568001;CASTELAR;MORON;ji100915@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60004500;ARZOBISPO JOSÉ ANTONIO DE SAN ALBERTO;Privado;Urbano;MATHEU E/ PELLEGRINI Y B. YRIGOYEN 337  ;7600;0223;451-0571;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;inicial@instituttosanalberto.edu; dji0431424@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60004600;JARDÍN DE INFANTES Nº911 MARIA ELENA MARTINEZ DE PELOSSO;Estatal;Urbano;35 Y 202 S/N  ;6660;02345;46-6338;6854001;25 DE MAYO;25 DE MAYO;jardindeinfantes911@yahoo.com.ar; ji108911@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60004700;COLEGIO SAN FCO.DE XABIER;Privado;Urbano;26 E/ 8 Y 9 756  ;6660;02345;46-3049;6854001;25 DE MAYO;25 DE MAYO;polimodal3446@yahoo.com.ar; colegio_sanxabier@yahoo.com.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60004800;INSTITUTO STELLA MARIS ADORATRICES;Privado;Urbano;ALMIRANTE BROWN 1074  ;7600;0223;451-0256;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;ismapolimodal@gmail.com;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60005000;INSTITUTO STELLA MARIS ADORATRICES;Privado;Urbano;ALTE. BROWN 1074  ;7600;0223;451-0256;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;stellaepb@gmail.com; dpp0430209@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60005100;COLEGIO LUIS FEDERICO LELOIR;Privado;Urbano;GÜEMES 3147  ;7600;0223;451-7932;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;colegiofedericoleloir@yahoo.com.ar; danielemaxi74@hotmail.com;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60005300;INSTITUTO STELLA MARIS ADORATRICES;Privado;Urbano;ALTE. BROWN 1074  ;7600;0223;451-0256;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;ismajardin@gmail.com; dji0431744@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60005700;ESCUELA DE EDUCACIÓN PRIMARIA Nº12 JUAN BAUTISTA ALBERDI;Estatal;Rural;RUTA NACIONAL 227 S/N  ;7635;02261;44-0564;6476030;TAMANGUEYU;LOBERIA;silvia_amado@live.com.ar; pp060012@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60005800;ESCUELA DE EDUCACIÓN PRIMARIA Nº46 ESCUELA NORMAL SUPERIOR;Estatal;Urbano;BARREIRA (E/ SAN MARTIN E ITALIA) 50  ;7635;02261;44-2053;6476023;LOBERIA;LOBERIA;ep462010@hotmail.com; pp060046@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60005900;ESCUELA DE EDUCACIÓN PRIMARIA Nº18 RUFINO LURO;Estatal;Rural;RUTA 88 KM 30   SAN PASCUAL;7635;02262;15-35-2005;6476023;LOBERIA;LOBERIA;ep18sanpascual@hotmail.com; opp0600018@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60006000;ESCUELA DE EDUCACIÓN PRIMARIA Nº23 REPUBLICA ORIENTAL DEL URUGUAY;Estatal;Rural;30 E/ 5 Y 7 S/N  EL BOQUERON;7601;0223;464-3196;6357009;BATAN;GENERAL PUEYRREDON;ep23boqueron@gmail.com; opp0430023@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60006100;JARDÍN DE INFANTES Nº921 RUCA AYELEN;Estatal;Rural;29 Y 10 BIS S/N  CHAPADMALAL;7609;0223;460-5433;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;0ji01430921@gmail.com.; oji0430921@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60006200;ESCUELA DE EDUCACIÓN PRIMARIA Nº24 PAULA ALBARRACIN;Estatal;Urbano;29 Y 10 BIS S/N  SIEMPRE VERDE;7609;0223;460-5444;6357010;CHAPADMALAL;GENERAL PUEYRREDON;patriciarosanaperez@hotmail.com; pp043024@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60006300;JARDÍN DE INFANTES Nº33;Estatal;Urbano;VIRREY DEL PINO 1520  ;7600;0223;465-2080;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;sandraonta@yahoo.com.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60006400;ESCUELA DE EDUCACIÓN PRIMARIA Nº9 ENRIQUE DE ANCHORENA;Estatal;Rural;CAMINO LOS ORTIZ S/N  LOS ORTIZ;7601;0223;464-3659;6357009;BATAN;GENERAL PUEYRREDON;ep09enriquedeanchorena@gmail.com; opp0430009@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60006500;JARDÍN MUNICIPAL Nº26;Estatal;Urbano;LABARDEN EX 196 E/65 Y 67-   PARQUE PALERMO;7600;0223;465-2083;6357020;MAR DEL PLATA;GENERAL PUEYRREDON;torresnancymdq@hotmail.com; mji0433872@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60006600;COLEGIO JUAN BAUTISTA ALBERDI;Privado;Urbano;AVENIDA INOCENCIO ARIAS 3550  ;1712;011;4624-1167;6568001;CASTELAR;MORON;alberdi@vaneduc.edu.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso
Buenos Aires;60006700;ESCUELA DE EDUCACIÓN PRIMARIA Nº7 JUAN BAUTISTA ALBERDI;Estatal;Urbano;SERRANO 1326  ;1663;011;4664-5141;6760005;SAN MIGUEL;SAN MIGUEL;pp131007@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60006800;ESCUELA DE EDUCACIÓN PRIMARIA Nº1 DOMINGO FAUSTINO SARMIENTO;Estatal;Urbano;SAN MARTIN 101  ;1865;02225;48-4015;6778008;SAN VICENTE;SAN VICENTE;ep.c1sv@gmail.co; pp099001@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60006900;ESCUELA DE EDUCACIÓN SECUNDARIA AGRARIA Nº1;Estatal;Urbano;LARREA 1651  EL PORTEÑO;1865;nan;nan;6778008;SAN VICENTE;SAN VICENTE;secretaria.eesa1sv@gmail.com; oma0990001@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso
Buenos Aires;60007000;JARDÍN DE INFANTES Nº901 MERCEDITAS DE SAN MARTÍN;Estatal;Urbano;9 DE JULIO (E/SARMIENTO Y BELGRANO) 38  ;1865;02225;48-1421;6778008;SAN VICENTE;SAN VICENTE;jardin901@hotmail.com; ji099901@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60007100;INSTITUTO MARCELO TORCUATO DE ALVEAR S.A.;Privado;Urbano;CAAGUAZU E/ BERTOLE Y BELTRAN 2473  ;1714;011;4692-2106;6410002;ITUZAINGO;ITUZAINGO;imta@uolsinectis.com.ar; dpp1362067@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Verdadero;Falso;Falso;Falso;Falso
Buenos Aires;60007200;JARDÍN DE INFANTES Nº906 PEUMAYEN;Estatal;Urbano;PINTO E/ ESPEJO Y QUIROS 1780  ;1714;011;4458-0409;6410002;ITUZAINGO;ITUZAINGO;ji136906@abc.gov.ar; ji136906@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
Buenos Aires;60007500;JARDÍN DE INFANTES Nº911;Estatal;Urbano;BOURELL Y SANTA CLARA 3150  BARRIO OBLIGADO;1661;011;4668-2591;6760001;BELLA VISTA;SAN MIGUEL;arenda_lidia@hotmail.com; ji131911@abc.gov.ar;Verdadero;Falso;Falso;Falso;Falso;Falso;Falso;Verdadero;Falso;Falso;Falso;Falso;Falso
